,team_id,team_name,team_short_name,team_abbreviation
0,0KPqjA456v,San Jose Earthquakes,San Jose,SJE
1,19vQ2095K6,New England Revolution,New England,NER
2,4wM42l4qjB,Chivas USA,Chivas,CHV
3,9z5k7Yg5A3,Philadelphia Union,Philadelphia,PHI
4,a2lqR4JMr0,Real Salt Lake,Salt Lake,RSL
5,a2lqRX2Mr0,New York Red Bulls,New York,NYRB
6,APk5LGOMOW,CF Montréal,Montréal,MTL
7,EKXMeX3Q64,D.C. United,D.C. United,DCU
8,eVq3ya6MWO,Los Angeles FC,Los Angeles FC,LAFC
9,gpMOLwl5zy,Austin FC,Austin,ATX
10,jYQJ19EqGR,Seattle Sounders FC,Seattle,SEA
11,jYQJ8EW5GR,Orlando City SC,Orlando City,ORL
12,kaDQ0wRqEv,LA Galaxy,LA Galaxy,LAG
13,KAqBN0Vqbg,Atlanta United FC,Atlanta,ATL
14,kRQabn8MKZ,Toronto FC,Toronto,TOR
15,kRQand1MKZ,Minnesota United FC,Minnesota,MIN
16,lgpMOvnQzy,Vancouver Whitecaps FC,Vancouver,VAN
17,mKAqBBmqbg,FC Dallas,Dallas,FCD
18,mvzqoLZQap,Columbus Crew,Columbus,CLB
19,NPqxKXZ59d,Charlotte FC,Charlotte,CLT
20,NWMWlBK5lz,FC Cincinnati,Cincinnati,CIN
21,pzeQZ6xQKw,Colorado Rapids,Colorado,COL
22,Vj58weDM8n,New York City FC,New York City,NYC
23,vzqoOgNqap,Nashville SC,Nashville,NSH
24,WBLMvYAQxe,Portland Timbers FC,Portland,POR
25,X0Oq66zq6D,Chicago Fire FC,Chicago,CHI
26,YgOMngl5wN,Houston Dynamo FC,Houston,HOU
27,Z2vQ1xlqrA,Sporting Kansas City,Kansas City,SKC
28,zeQZkL1MKw,Inter Miami CF,Miami,MIA
